"","pmid","doi","title","abstract","year","month","day","jabbrv","journal","keywords","lastname","firstname","address","email"
"1","34172911","10.1038/s41432-021-0181-3","COVID-19, social media use and anxiety: more complex than it might appear?","Design Cross-sectional questionnaire survey of 403 dental healthcare workers.Sample selection Snowball sampling via social media.Data analysis Descriptive analysis of sample. Bivariate analysis of the relationship between demographic variables, social media use and anxiety. Binary logistic regression analysis predicting: 1) use of social media; and 2) general anxiety.Results 1) Social media use was predicted by moderate/severe anxiety level; 2) general anxiety level was predicted by being female","2021","06","30","Evid Based Dent","Evidence-based dentistry","Anxiety; COVID-19; Cross-Sectional Studies; Female; Humans; SARS-CoV-2; Social Media","Newton","Tim","King's College London, London, UK",NA
"2","34172910","10.1038/s41432-021-0179-x","Is periodontitis associated with the severity of COVID-19?","Data sources The national electronic health records of the Hamad Medical Corporation (HMC) in the State of Qatar.Data extraction and synthesis This case-control study included 568 patients from the HMC electronic database for data eliciting from 27 February 2020 to 31 July 2020. Patients with coronavirus disease 2019 (COVID-19) complications were considered as cases. Controls were defined as COVID-19 patients without major complications (discharged). Multivariate logistic regression was performe","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; Case-Control Studies; Humans; Periodontitis; Qatar; Risk Factors; SARS-CoV-2","Shamsoddin","Erfan","National Institute for Medical Research Development (NIMAD), Tehran, Iran",NA
"3","34172909","10.1038/s41432-021-0182-2","Should we test asymptomatic children for SARS-CoV-2?","Design Cross-sectional study.Sample selection This study included 921 children (471 male, 450 female) due to receive either routine dental care involving aerosol generating procedures or comprehensive dental care under general anaesthetic. Data was collected at a paediatric dental clinic associated with the University of Illinois, Chicago. Patients were screened by a telephone questionnaire assessing for coronavirus disease 2019 (COVID-19) or severe acute respiratory syndrome coronavirus 2 (SARS","2021","06","30","Evid Based Dent","Evidence-based dentistry","Adolescent; Aged; COVID-19; Chicago; Child; Cross-Sectional Studies; Female; Humans; Male; SARS-CoV-2","Cowan","Kirsty","Dental Core Trainee, Aberdeen Dental Hospital, Department of Restorative Dentistry, UK",NA
"4","34172909","10.1038/s41432-021-0182-2","Should we test asymptomatic children for SARS-CoV-2?","Design Cross-sectional study.Sample selection This study included 921 children (471 male, 450 female) due to receive either routine dental care involving aerosol generating procedures or comprehensive dental care under general anaesthetic. Data was collected at a paediatric dental clinic associated with the University of Illinois, Chicago. Patients were screened by a telephone questionnaire assessing for coronavirus disease 2019 (COVID-19) or severe acute respiratory syndrome coronavirus 2 (SARS","2021","06","30","Evid Based Dent","Evidence-based dentistry","Adolescent; Aged; COVID-19; Chicago; Child; Cross-Sectional Studies; Female; Humans; Male; SARS-CoV-2","Keys","William","Consultant, Aberdeen Dental Hospital, Department of Restorative Dentistry, UK",NA
"5","34172908","10.1038/s41432-021-0183-1","Dental professionals' role in the fight against COVID-19: current evidence.","Data sources Five databases were used to search for articles: PubMed, Embase, Scopus, Web of Science and Cochrane.Study selection All articles with the relevant topics related to COVID-19 and limited to Italian and English Language (with available English abstract) were screened. Additionally, included articles were screened for relevant references.Date extraction and synthesis Two of the authors reviewed the titles and abstracts obtained from the search and screened for relevance. Databases wer","2021","06","30","Evid Based Dent","Evidence-based dentistry","Aerosols; COVID-19; Dentists; Hand Hygiene; Humans; SARS-CoV-2","Crowder","Lauren","Paediatric Department, Glasgow Dental Hospital, Glasgow, UK",NA
"6","34172907","10.1038/s41432-021-0184-0","Is SARS-CoV-2 present in the periodontium? A post-mortem study.","Aims To investigate the presence of SARS-CoV-2, the virus responsible for COVID-19 infection, in the periodontal tissues of deceased individuals with a positive SARS-CoV-2 nasopharyngeal swab test.Sample selection Seven deceased individuals, who were admitted to the intensive care unit of the Hospital das Clínicas of the Medicine School of Sao Paulo University for invasive mechanical ventilation following a positive nasopharyngeal COVID-19 test result, underwent a post-mortem examination. Indivi","2021","06","30","Evid Based Dent","Evidence-based dentistry","Adolescent; Adult; Aged; Brazil; COVID-19; Child; Cross-Sectional Studies; Female; Humans; Male; Middle Aged; Periodontium; SARS-CoV-2; Young Adult","Adam","Mohammed","University of Liverpool, Liverpool, UK",NA
"7","34172906","10.1038/s41432-021-0185-z","Exploring the relationship between COVID-19 and oral health by radiographic examination.","Design Analytical retrospective study aimed at revealing the relationship between dental damage stage (DD Stg) and the severity of COVID-19 disease. This study was conducted over four months between 10 March 2020 and 15 July 2020 at the University of Health Sciences department at the Abdulhamid Han Training and Research Hospital Dental Services in Turkey.Sample selection A total of 137 patients were included in this study taken from a cohort of 1,516 patients with a positive polymerase chain rea","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; Humans; Oral Health; Retrospective Studies; SARS-CoV-2; Turkey","Kalsi","Hasneet K","Dental Core Trainee, Newcastle Dental Hospital, UK",NA
"8","34172906","10.1038/s41432-021-0185-z","Exploring the relationship between COVID-19 and oral health by radiographic examination.","Design Analytical retrospective study aimed at revealing the relationship between dental damage stage (DD Stg) and the severity of COVID-19 disease. This study was conducted over four months between 10 March 2020 and 15 July 2020 at the University of Health Sciences department at the Abdulhamid Han Training and Research Hospital Dental Services in Turkey.Sample selection A total of 137 patients were included in this study taken from a cohort of 1,516 patients with a positive polymerase chain rea","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; Humans; Oral Health; Retrospective Studies; SARS-CoV-2; Turkey","Carr","Andrew","Clinical Teaching Fellow, School of Dental Sciences, Newcastle University, UK",NA
"9","34172904","10.1038/s41432-021-0168-0","COVID-19: dental aerosol contamination in open plan dental clinics and future implications.","Study design An experimental study design was used to investigate the spread of splatter/aerosol during simulated dental procedures on a mannequin in open plan clinic and dental clinical teaching laboratory settings. All experiments were based on crown preparation of an artificial maxillary central incisor using a high-speed air turbine over a ten-minute period. Fluorescein dye was introduced into the irrigation system of the handpiece (model 1) and the mannequin's mouth was used to simulate sal","2021","06","30","Evid Based Dent","Evidence-based dentistry","Aerosols; COVID-19; Dental Clinics; Humans; SARS-CoV-2; Suction","Ali","Kamran","University of Plymouth Peninsula Dental School, Plymouth, UK",NA
"10","34172904","10.1038/s41432-021-0168-0","COVID-19: dental aerosol contamination in open plan dental clinics and future implications.","Study design An experimental study design was used to investigate the spread of splatter/aerosol during simulated dental procedures on a mannequin in open plan clinic and dental clinical teaching laboratory settings. All experiments were based on crown preparation of an artificial maxillary central incisor using a high-speed air turbine over a ten-minute period. Fluorescein dye was introduced into the irrigation system of the handpiece (model 1) and the mannequin's mouth was used to simulate sal","2021","06","30","Evid Based Dent","Evidence-based dentistry","Aerosols; COVID-19; Dental Clinics; Humans; SARS-CoV-2; Suction","Raja","Mahwish","Newcastle University, Newcastle upon Tyne, UK",NA
"11","34172903","10.1038/s41432-021-0170-6","Should photographic triage become common practice?","Design Cross-sectional, exploratory study collecting photographic referral data over three months.Sample selection Paediatric referrals to the orthodontic and maxillofacial department at Alder Hey Hospital during the COVID-19 pandemic.Data analysis Photographic referrals were analysed using Microsoft Excel to determine treatment outcomes, including 'not to see', 'plan to see' and 'need to see'. Demographic information collected and analysed were patient age, gender, referral source and presentin","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; Child; Cross-Sectional Studies; Humans; Pandemics; Referral and Consultation; SARS-CoV-2; Triage","Thomas","Nicole","Faculty of Health, University of Plymouth, Plymouth, UK",NA
"12","34172902","10.1038/s41432-021-0171-5","Do aspirating systems have a role in preventing COVID-19 transmission among dental healthcare workers?","Aim The aim of this retrospective cohort study was to determine and compare the seropositivity rates of SARS-CoV-2 among dental healthcare workers (HCWs) working in three different clinics using different types of aspirating systems. The study took place in Ekaterinburg (Russian Federation).Methods A total of 157 HCWs from three different clinics (56, 60 and 41 HCWs, respectively) who worked during the COVID-19 pandemic period (May to August 2020) constituted the cohort. All of the three chosen ","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; Health Personnel; Humans; Pandemics; Retrospective Studies; Russia; SARS-CoV-2; Seroepidemiologic Studies","Gugnani","Neeraj","Department of Paedodontics and Preventive Dentistry, DAV (C) Dental College Yamunanagar, Haryana, India",NA
"13","34172902","10.1038/s41432-021-0171-5","Do aspirating systems have a role in preventing COVID-19 transmission among dental healthcare workers?","Aim The aim of this retrospective cohort study was to determine and compare the seropositivity rates of SARS-CoV-2 among dental healthcare workers (HCWs) working in three different clinics using different types of aspirating systems. The study took place in Ekaterinburg (Russian Federation).Methods A total of 157 HCWs from three different clinics (56, 60 and 41 HCWs, respectively) who worked during the COVID-19 pandemic period (May to August 2020) constituted the cohort. All of the three chosen ","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; Health Personnel; Humans; Pandemics; Retrospective Studies; Russia; SARS-CoV-2; Seroepidemiologic Studies","Gugnani","Shalini","Department of Periodontics and Oral Implantology, DAV (C) Dental College Yamunanagar, Haryana, India",NA
"14","34172901","10.1038/s41432-021-0169-z","Could dentists be the first to diagnose COVID-19 due to oral manifestations?","Data sources A search of electronic databases (PubMed and Google Scholar) was carried out, with publication being set from 2019 to October 2020.Study selection Titles and abstracts from the original search were reviewed by two reviewers independently. Overall, 17 studies were included in the final analysis.Data extraction and synthesis Data extraction was conducted independently by two reviewers. Studies that were chosen were examined and the following data parameters were included: age and gend","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; COVID-19 Testing; Dentists; False Negative Reactions; Humans; SARS-CoV-2","Coll","Yasmine","DCT2, Oral and Maxillofacial Surgery, Crosshouse Hospital, Kilmarnock, UK",NA
"15","34172901","10.1038/s41432-021-0169-z","Could dentists be the first to diagnose COVID-19 due to oral manifestations?","Data sources A search of electronic databases (PubMed and Google Scholar) was carried out, with publication being set from 2019 to October 2020.Study selection Titles and abstracts from the original search were reviewed by two reviewers independently. Overall, 17 studies were included in the final analysis.Data extraction and synthesis Data extraction was conducted independently by two reviewers. Studies that were chosen were examined and the following data parameters were included: age and gend","2021","06","30","Evid Based Dent","Evidence-based dentistry","COVID-19; COVID-19 Testing; Dentists; False Negative Reactions; Humans; SARS-CoV-2","Elmahgoub","Fatima","DCT3, Oral and Maxillofacial Surgery, Crosshouse Hospital, Kilmarnock, UK",NA
"16","34172868","10.1038/s41415-021-3176-8","Dental education during the pandemic - how effective?",NA,"2021","07","09","Br Dent J","British dental journal","COVID-19; Education, Dental; Humans; Pandemics","Wadia","Reena","Specialist Periodontist at RW Perio and Associate Specialist at King's College Dental Hospital, London, UK",NA
"17","34172816","10.1038/s41598-021-92885-7","Inflammatory biomarkers in pregnant women with COVID-19: a retrospective cohort study.","Coronavirus disease 2019 (COVID-19) is a pandemic viral disease affecting also obstetric patients and uncertainties exist about the prognostic role of inflammatory biomarkers and hemocytometry values in patients with this infection. To clarify that, we have assessed the values of several inflammatory biomarkers and hemocytometry variables in a cohort of obstetric patients hospitalized with COVID-19 and we have correlated the values at admission with the need of oxygen supplementation during the ","2021","07","07","Sci Rep","Scientific reports","Adult; Biomarkers; C-Reactive Protein; COVID-19; Female; Fibrin Fibrinogen Degradation Products; Humans; Lymphocytes; Pregnancy; Retrospective Studies","Lombardi","Andrea","Infectious Diseases Unit, Foundation IRCCS Ca' Granda Ospedale Maggiore Policlinico, Via Francesco Sforza 35, 20122, Milan, Italy. andrea.lombardi@policlinico.mi","andrea.lombardi@policlinico.mi.it"
"18","34172816","10.1038/s41598-021-92885-7","Inflammatory biomarkers in pregnant women with COVID-19: a retrospective cohort study.","Coronavirus disease 2019 (COVID-19) is a pandemic viral disease affecting also obstetric patients and uncertainties exist about the prognostic role of inflammatory biomarkers and hemocytometry values in patients with this infection. To clarify that, we have assessed the values of several inflammatory biomarkers and hemocytometry variables in a cohort of obstetric patients hospitalized with COVID-19 and we have correlated the values at admission with the need of oxygen supplementation during the ","2021","07","07","Sci Rep","Scientific reports","Adult; Biomarkers; C-Reactive Protein; COVID-19; Female; Fibrin Fibrinogen Degradation Products; Humans; Lymphocytes; Pregnancy; Retrospective Studies","Duiella","Silvia","Unit of Obstetric, Dept of Woman Child and Neonate, Foundation IRCCS Ca' Granda Ospedale Maggiore Policlinico, Mangiagalli Centre, University of Milan, Milan, Italy",NA
"19","34172816","10.1038/s41598-021-92885-7","Inflammatory biomarkers in pregnant women with COVID-19: a retrospective cohort study.","Coronavirus disease 2019 (COVID-19) is a pandemic viral disease affecting also obstetric patients and uncertainties exist about the prognostic role of inflammatory biomarkers and hemocytometry values in patients with this infection. To clarify that, we have assessed the values of several inflammatory biomarkers and hemocytometry variables in a cohort of obstetric patients hospitalized with COVID-19 and we have correlated the values at admission with the need of oxygen supplementation during the ","2021","07","07","Sci Rep","Scientific reports","Adult; Biomarkers; C-Reactive Protein; COVID-19; Female; Fibrin Fibrinogen Degradation Products; Humans; Lymphocytes; Pregnancy; Retrospective Studies","Piani","Letizia Li","Unit of Obstetric, Dept of Woman Child and Neonate, Foundation IRCCS Ca' Granda Ospedale Maggiore Policlinico, Mangiagalli Centre, University of Milan, Milan, Italy",NA
"20","34172816","10.1038/s41598-021-92885-7","Inflammatory biomarkers in pregnant women with COVID-19: a retrospective cohort study.","Coronavirus disease 2019 (COVID-19) is a pandemic viral disease affecting also obstetric patients and uncertainties exist about the prognostic role of inflammatory biomarkers and hemocytometry values in patients with this infection. To clarify that, we have assessed the values of several inflammatory biomarkers and hemocytometry variables in a cohort of obstetric patients hospitalized with COVID-19 and we have correlated the values at admission with the need of oxygen supplementation during the ","2021","07","07","Sci Rep","Scientific reports","Adult; Biomarkers; C-Reactive Protein; COVID-19; Female; Fibrin Fibrinogen Degradation Products; Humans; Lymphocytes; Pregnancy; Retrospective Studies","Comelli","Agnese","Infectious Diseases Unit, Foundation IRCCS Ca' Granda Ospedale Maggiore Policlinico, Via Francesco Sforza 35, 20122, Milan, Italy",NA
